topic,question,option1,option2,option3,option4,correct_answer_index,difficulty,explanation,eli5
Ethics/Legal,Q11: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q12: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q13: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q14: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q15: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q16: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q17: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q18: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q19: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q20: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q21: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q22: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q23: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q24: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q25: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q26: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q27: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q28: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q29: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q30: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q31: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q32: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q33: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q34: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q35: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q36: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q37: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q38: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q39: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q40: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q41: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q42: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q43: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q44: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q45: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q46: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q47: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q48: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q49: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q50: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q51: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
Coaching Process,"Q52: A client says, 'I want to exercise more, but I always give up.' Which coaching technique BEST helps explore this ambivalence?
A) Giving advice
B) Double-sided reflection
C) Agenda-setting
D) Open-ended questioning",Giving advice,Double-sided reflection,Agenda-setting,Open-ended questioning,1,3,This question is from the NBHWC prep set. Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. this helps them hear their own mixed feelings and can spark new insight.,Double-sided reflections acknowledge both sides of what the client is feeling—wanting change but also feeling stuck. This helps them hear their own mixed feelings and can spark new insight.
Ethics/Legal,Q53: True or False: It’s within a health coach’s scope of practice to diagnose a client’s medical condition.,True,False,Option not applicable,Option not applicable,1,1,"This question is from the NBHWC prep set. Health coaches do not diagnose or treat medical conditions. they support behavior change, but diagnosis is the job of licensed healthcare professionals.","Health coaches do NOT diagnose or treat medical conditions. They support behavior change, but diagnosis is the job of licensed healthcare professionals."
Health & Wellness,"Q54: A 55-year-old client with hypertension wants to start an exercise program. Which initial strategy is MOST appropriate?
A) Encourage daily high-intensity workouts
B) Suggest moderate aerobic activity after medical clearance
C) Focus only on diet changes
D) Avoid discussing exercise entirely",Encourage daily high-intensity workouts,Suggest moderate aerobic activity after medical clearance,Focus only on diet changes,Avoid discussing exercise entirely,1,5,"This question is from the NBHWC prep set. For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. it’s safe, sustainable, and aligns with guidelines.","For clients with medical conditions, moderate-intensity aerobic exercise is beneficial but should start after medical clearance. It’s safe, sustainable, and aligns with guidelines."
